"","article_URL","creator","article_title","content","date","img_link"
"1","https://www.trendingtopics.at/15-mobility-startups-announced-for-the-finals-of-the-factory1-accelerator/","Factory1","15 Mobility Startups Announced For The Finals of the Factory1 Accelerator","The shortlist for participants of the Kapsch Factory1 corporate accelerator has been finalized. 193 startups have applied for the five-month program. 15 young international companies now have the chance to make it into the „Factory1 2K19“ program and receive equity free financial resources and expert mentoring. The 15 finalists will now go through a bootcamp in Vienna. At the Winner’s Ceremony on 27th of February they will pitch their ideas, and Georg Kapsch, CEO of Kapsch Group, will announce four to five winners. The focus this year is on startups that want to shape the future of mobility. The potential participants come from ten different countries, from Switzerland to Israel and Canada. +++ „Startups can open our eyes with disrupting ideas“: This is how the Factory1 accelerator works +++ Aerostate, USA Aerostate provides cities and businesses with air quality analysis and 4-day weather forecasts by city district. The analytics tools convert the raw forecast data into realizable findings for apps or IoT applications. The platform is designed to help cities make decisions that impact the city ecology. The startup has its origins in Moscow, Russia and was founded in 2015 by Dmitry Solomentsev. Autofleet, Israel The Autofleet platform enables fleet managers to transform from fleet management to a vehicle as a service provider. Fleet managers are able to maximize fleet utilisation and revenue while opening up a new „per-mile“ business model. Bestmile, Switzerland The Swiss startup Bestmile is working on the optimization of public and private fleets consisting of autonomous and vehicles with human drivers. Their platform helps to deploy, manage, and optimize fleets with any type of vehicle for any type of service. Customers include PostBus, Switzerland’s largest bus transit company. Bleenco, Germany The German startup is developing artificial intelligence for vehicles that will help prevent accidents, among other things. The startup monitors road conditions and traffic flow or the physical condition of the driver and processes the data in real time. Bleenco can detect and analyze not only facial expressions but also body movements and eye focus. Brisk Synergies, Canada The Canadian startup collects, monitors and analyses traffic movements from the material of surveillance cameras. The company helps urban planners and engineers to prevent accidents and increase road safety through intelligent traffic planning. CityShifter, Ireland The startup from Ireland wants to optimize urban bus networks by combining data from hundreds of sources, like IOT sensors, weather forecasts or traffic monitoring. Crypta Labs, UK Crypta Labs is a cyber security company specializing in secure communication of networked objects. Their Quantum based encryption is designed to ensure the strongest possible level of encryption for critical devices. +++ Your car will talk to the road. Which will make a lot of cool things possible. +++ Derq, United Arab Emirates Through the use of Artificial Intelligence and connected vehicle technology, Derq can anticipate and prevent car crashes. The startup is based in Dubai based and originally a spin-off from MIT. In 2017 Derq went through the renowned Techstars accelerator. Exeon Analytics, Switzerland Exeon Analytics uses machine learning to analyze activities in a corporate network and to identify and investigate malware infections and data breaches hiding in regular network traffic. According to the Startup this allows the customers to find the so-called needle in the haystack and transform collected log data into actionable security insights. Flx, South Africa Flx is a platform that can organise the transport of commuters that work at the same company. The platform allows to supplement public transport with private or shared transit solutions. Flx provides this service as a „Software as a Service“ platform. Good Vision, Czech Republic The Swiss startup GoodVision analyses the material of public transport cameras using Artificial Intelligence. The platform offers a visualization of the data material and automates traffic counting, for example. The analysis also helps city planners and shops to find a good location. Imburse, Switzerland Imburse offers companies a „Payment as a Service“ platform that makes it easier to integrate all available payment technologies into existing IT systems. This enables IT costs to be reduced, improved financial processes and new customer-oriented products to be developed. Objectbox, Germany Objectbox has developed a database that is especially optimized for small IoT and mobile devices. The database needs less than 1 MB storage space and, according to Objectbox, is many times faster than competing products. Ondewo, Austria Ondewo develops AI-based chatbots and language assistants that enable automated but natural conversation with customers. The platform is designed to enable companies to implement conversation-based product ideas (e.g. chatbots, language assistants, robots, smart home, IoT etc.) in order to interact with their customers around the clock at low cost. HD Vision Systems, Germany HD Vision Systems has developed a 3D scanner that helps robots see better. The system consists of arrays of discrete cameras that scan all optical information of objects. This data, coupled with machine learning, gives it a head start over other optical sensors.","18. Februar 2019","https://www.trendingtopics.at/wp-content/uploads/2019/02/junction-960801_1920-644x362.jpg"
"2","https://www.trendingtopics.at/factory-1-kapsch-accelerator-2018-batch2/","Factory1","Factory 1: This is How Kapsch is Accelerating Startups","Kapsch opens the call for the „Factory 1“ Accelerator Program which offers unique opportunities to collaborate with the globally-operating technology group and its partners. Throughout a four-months period the program „Factory1 2K19“ provides equity free financial resources and expert mentoring. Startups that want to shape the future of mobility can apply here until December 12th 2018. A born global innovator The first edition of „Factory 1“ was honored on the “Exportday 2018” by the Austrian Economic Chamber as „Born Global Innovators“ this year (Trending Topics reported). “The accelerator was launched as part of our open innovation strategy: We are looking for startups that share our passion for technology and our drive to shape the future of mobility”, says Marcus Handl, Head of Corporate Development & Innovation at Kapsch. “Benefitting from the required resources and technologies, the expertise of our mentors, and our international customer base, the startups selected are able to build successful proof-of-concept projects as a foundation for future collaboration”, he continues. Participants of Factory 1 – first Batch © KapschMobility, payments and cybersecurity The „Factory1“ global accelerator program is designed for startups (Pre-Series A, Series A) building solutions for mobility data platform solutions, integrated urban mobility, autonomous transportation, maintenance of the future, payments and transaction processing, cybersecurity and data privacy. Prototype and first traction Kapsch seeks entrepreneurs who have a functional prototype or a working product with first reference customers/sales traction, an experienced team and a passion to build something that will transform the mobility industry. The program was established to create real value for real customers. Even though Kapsch is headquartered in Vienna, startups do not have to re-locate to the Austrian capital. The CEO and a second team member (preferably the CTO) will be invited to come to specific events (Kick-off days, the three accelerations weeks and the demo day). All travel and accommodation costs will be covered by Kapsch. Apply here for Kapsch Factory 1: Kapsch invites innovative startups to work on the next big ideas in the mobility sector through Factory1 2K19. Visit www.factory1.net for more information.","26. November 2018","https://www.trendingtopics.at/wp-content/uploads/2018/11/marcus-644x362.jpg"
"3","https://www.trendingtopics.at/factory-1-post-acceleration-kapsch/","Factory1","Corporates & Startups: How to Avoid Mistakes in The Post-Acceleration Phase","Factory1 is one of the most popular examples of a corporate startup accelerator in Europe. The second Factory1 edition led to two partnerships between startups and the Austrian company Kapsch TrafficCom. Still, several stumbling blocks to promising corporate-startup partnerships are bound to come up in the post-acceleration phase: conflict with existing business, lack of buy-in from decision makers, and insufficient resources. In a new whitepaper, Kapsch is reflecting on the lessons learned from the accelerator, which can be downloaded here for free. The whitepaper shows five ways on how to keep corporate-startup collaborations going during the post-acceleration phase. In this interview, Simrit Sandhu, Program Lead of Factory1, explains what the post-acceleration gap is, how to avoid mistakes and how important commitment to long term partnerships is. What is the post-acceleration gap? Simrit Sandhu: We can all acknowledge that large corporates like Kapsch and small startups are highly complementary in many aspects. We as a corporation get support in search for innovation and our startups receive help to improve their execution. Despite the mutual interest and complementary assets, we have faced several barriers in successfully collaborating. It is a fact that diverse ways of working and cultural differences make us distinctly different organizations. The pace and intensity of the Factory1 program requires tremendous efforts and focus from all stakeholders involved. Within these 4 months, many rules and structures don’t apply to us. After the accelerator though, corporate mentors are likely to return to their daily jobs and the priorities of our startups might shift as well. The post-acceleration gap is essentially what we call the divergence in working styles of Kapsch and our startups after the demo day. Simrit Sandhu, Program Lead of Factory1, on stage. © KapschWhat are the most common mistakes that happen in the post acceleration phase? One of the mistakes that is made during the program and has strong implications in the post acceleration phase is not linking the startup to the right stakeholders within and outside of the organization. We are therefore very thoughtful in setting up various touch point throughout the Factory1 program, introducing the startups to Kapsch executives, managers and experts. Another risk is fading interest after the demo day in the collaboration. Building up a business opportunity and losing focus and drive after the demo day can happen very quickly. It is one of the major pitfalls that comes with the post acceleration gap and a mistake we are trying to prevent at all costs. But after putting an enormous amount of effort, time and financial resources into an acceleration program like Factory1, the most painful mistake would be to completely lose touch with the startups. Keeping at least some level of connection can bring valuable insights int future developments on both sides and potential business opportunities down the road. How can these mistakes be avoided? How do you prevent drop-offs? We have worked out two approaches to avoid a fading connection with our Factory1 startups. First, we involved the business unit managers right from the start which eliminated the need for an actual hand over from the accelerator management team to the business after the acceleration phase. The business units took ownership by defining the search fields for the program and appointing Kapsch mentors for each area. Second, we empowerd the Kapsch mentors as relationship owners and as the main startup collaboration contact for the acceleration phase and after. They walk with the startup from start to finish and beyond. The main problem we tried to avoid was having to internally “sell” the startup-project after it has already been proven successful in the acceleration program. From our experience, that’s the moment when the collaboration collapses. But having driven Kapsch mentors guiding the startup through the organizational complexities has proven to be incredibly important. After the accelerator, corporates and startups are likely to return to their daily business. How can they keep on working together? For our second edition of Factory1, we took an active interest in the progress of the collaboration, rather than relying on requests from either our business units or the startups for continued conversations. We held biweekly update calls with the startups and internal stakeholders who might benefit from the startup’s solution. Introducing our startups to many internal stakeholders beyond the program helps them to reduce the dependency on their mentor and should give an insight to the complex corporate decision-making processes. What was your biggest learning from the Factory1 post acceleration phase? It is essential to clearly define which corporate relationship helps the projects current trajectory. In our case, we place a strong focus on generating interest from first customers in order to get the required support from all inhouse stakeholders. Luckily our startups are very proactive when it comes to getting exposure and suggesting customer development opportunities to us. In the end, both us and the startups gear all efforts towards taking the next step on our journey to a long term strategic partnership.","06. April 2020","https://www.trendingtopics.at/wp-content/uploads/2020/04/marc-sendra-martorell-Vqn2WrfxTQ-unsplash-644x362.jpg"
"4","https://www.trendingtopics.at/factory1-acceleration-week-silicon-valley-2019/","Factory1","In Europe You Are Successful if You Don’t Screw up. In Silicon Valley it’s The Other Way Round.","„If you’re going to San Francisco, be sure to wear some flowers in your hair”, sang Scott McKenzie in 1967. If the famous song would have been written today, the lyrics probably would say: “Be sure to pitch your startup idea.” San Francisco and Silicon Valley are the epicenter of global innovation. Nowhere else in the world you can find such density of startups, VCs and large tech companies. The five startups from this year’s cohort of Factory1, the corporate accelerator of the Austrian tech company Kapsch, got the chance to spend one week in the Bay Area to visit tech giants like Apple, Google or Facebook, to meet and chat with VCs like Autotech Ventures and to feel the spirit of the University of Stanford, where the founders of Google, Intel, Paypal or Cisco have studied. The Factory1 delegation at the gates of Stanford. © Factory1Network effects “The size and scale of everything is impressive. It is like Europe, but you have to add a zero to everything,” says David Gugelmann, CEO and founder of cybersecurity startup Exeon Analytics from Switzerland. Together with the founders of Aerostate from Russia, Bestmile from Switzerland, DerQ from the United Arab Emirates and ObjectBox from Germany, he took part in a dense acceleration week. The goal: establish contacts in Silicon Valley, evaluate the US market and learn from the biggest startup ecosystem in the world. “I’m a huge fan of not over-estimating Silicon Valley,” says Vivien Dollinger, CEO of Objectbox, which provides an edge database for IoT devices. But arriving in San Francisco, she seamlessly got introduced to the very open culture. “I expected to drink a coffee and just run into a VC. You always hear stories like that. And I really met some people that way,” says Vivien. The Factory1 delegation visits Facebook. © Factory1The show must go on After meeting experts like Friedrich Prinz, professor at Stanford, the startup founders of Factory1 got deep insights into the advantages and disadvantages of Silicon Valley. “The main learning for me is that the startup business is often not that smooth as it is communicated”, says David. Silicon Valley startups are well-known for very good marketing, but underneath the surface, things often look different. “It is always a long journey with a lot of money involved”, says David who spoke to founders. “That is an important insight. Sometimes you have to pivot, and it is good to see that this is always an option.” The reality Silicon Valley includes a lot of show. Founders, venture capitalists, and top engineers are celebrated like pop stars. “It is much more of a show than in Europe. I was aware of that, but I did not expect that this show thing would be that important”, says David. “There must be a show involved, but in the end, the technology has to be robust. Otherwise, you won’t survive.” The Factory1 delegation in Front of Apple Park. © Factory1It’s the culture, not the technology Silicon Valley is one of the major tech hubs worldwide – which does not mean that European technology is not as good. “The quality of engineers in Silicon Valley is the same as in Europe. It would not make sense to move our development here, but it makes definitely sense to do sales here”, says David, a former postdoc at ETH Zurich. “The main reason why people here are more successful is that they have much more confidence. In Europe people are much more afraid of failing”, says David. “The engineers here are very expensive, and they are less loyal, so the change a lot and just go for the money. Vivien, who studied at TU Munich, agrees: “I think we have a better education in Germany or Austria. But here you have the networks that push talents forward.” A well-known fact is that VCs in Silicon Valley prefer to invest in founders who already have failed. They will avoid the mistakes they fell into before. “In Europe, you are successful if you don’t screw up. In Silicon Valley it’s the other way around”, says David. Vivien adds: “People raise millions on ideas. That does not happen in Germany. That makes the US a very good place for startups.” The Factory1 delegation visits the legendary HP garage. © Factory1Why not relocate? For US founders, it often seems that they can raise millions very easily. That would not work for European founders who come to the Bay Area, Vivien says: “There is a strong cultural difference, and that makes it harder for European startups to get clients, deals or to raise money in the US.” Still, her team thinks of relocating to the US in the future. “Valuations tend to be much better in the US. Our company has a lot of traction, but not a lot of revenue. Traction is valued much higher in the US, and that is a good reason why we consider relocating to Silicon Valley”, says Objectbox’s CEO. “But currently we prefer to be based in Europe.” Today, she would not want to transfer the company’s IP to the States and keeps it in Europe. “Once the IP is in the US, you can’t get it out again.” Exeon Analytics also wants to stay in Europe. “Expanding to the US is an interesting option, but it is not our main priority. We are a European company, and we use that fact that we are Swiss as part of our marketing”, says David. “It would not make sense to move development here, but it makes definitely sense to do sales overseas.”","14. Mai 2019","https://www.trendingtopics.at/wp-content/uploads/2019/05/San-Francisco_Unsplash-644x362.jpg"
"5","https://www.trendingtopics.at/factory1-accelerator-mentors-kapsch/","Factory1","„Startups can open our eyes with disrupting ideas“: This is how the Factory1 accelerator works","Once self-driving cars take over our streets, everything will get better. Less traffic, less CO2, fewer accidents, more parking spaces. Right? Well, forecasts are hard to make, especially when they concern the not so near future. Meanwhile according to other studies the robo-cars might slow down the whole traffic and make it all less efficient. The mobility of the future and the effects of autonomous vehicles are topics that the Austrian tech company Kapsch also addresses. It is known worldwide for its toll systems, traffic infrastructure and mobility management systems. Traffic of the future is unpredictable „Some studies say that autonomous driving will provide more traffic. If self-driving cars become affordable for everyone, then they will compete with public transport“, said Christoph Seybold. “And we have to be prepared for this scenario.” At Kapsch, Christoph works as a solution consultant, but recently also as a startup mentor. This year, international startups will once again participate in the in-house Factory1 accelerator program. 193 startups have applied and four to five young companies will be invited to take part in the five-month program. „We have evaluated whether there are any solutions that we can integrate with,“ says Barbara Hollinger, Business Development Manager at Kapsch. Like Christoph, she is one of the 60 international mentors who will take care of the startups. „We are looking for startups that are already on the market and have made sales.” Individualism vs. tower manager Mobility Platforms, Integrated Urban Mobility, Data Privacy, Smart Autonomous Platforms – Factory1 is all about the mobility of the future. This new reality might seem far away, but is indeed approaching in giant leaps, and it comes with some effects that could be surprising. For example, self-driving cars themselves are considered expensive, but this image changes drastically once they are integrated into car sharing services. „There are calculations that fares will fall so sharply that they c<U+043E>uld undercut the price of the subway tickets,“ says Christoph. That would increase demand, and instead of less cars on the streets, there would suddenly be more. This is also because conventional vehicles do not disappear overnight. „This mixed traffic will cause considerable problems,“ says Barbara. “We need to be prepared for this challenge. Taking innovative ideas into account in collaboration with startups can help” Kapsch is investigating solutions from the complete vehicle individualism to a fully centralized control of every movement. „Opinions significantly vary whether self-driving vehicles will coordinate themselves or if they will be managed from a central point similar to airplanes from a tower,“ says startup mentor Christoph. „Self-driving vehicles could be directed by a traffic management center. We’re already considering what components are needed to set up such a system.“ „Startups can open our eyes“ And this is where startups come in. „We already have well-founded and patented tech solutions in-house, but keeping up with rapidly changing market demands can become a challenge for large companies“ says Barbara. „That’s where startups come in. They can open our eyes with disrupting ideas.“ The goal of Factory1: From February to June, the young companies will develop a proof of concept in the accelerator, which ideally works in conjunction with existing Kapsch solutions. At the end of the program, there should be a close collaboration. Even a complete takeover is conceivable. „Ideally, we can position ourselves jointly in the market,“ says Barbara. The perfect startup The selection process for the accelerator is demanding. „The perfect startup can dock its solution to ours and shares our vision,“ says Barbara. „Of course, with almost 200 applicants, those who can’t present their pitches properly fall out. On the other hand: a startup that throws out perfect marketing phrases but doesn’t have a profound solution as a basis won’t work either.” Founders should better think in advance what the benefits they can offer Kapsch are. „Some have really thought about concrete use cases and see where they could work with us. Someone who only wants funding but does not propose a concrete solution has a hard time with us,“ says Barbara. If founders are only looking for investment, they won’t make it into the accelerator. „If a team of 200 people makes zero revenue, or if a startup wants to raise ten million and has no CFO – then skepticism is appropriate,“ says Christoph. “We can be very fast” Even those who only want to get access to customer (Kapsch has 100 branches worldwide and generates more than one billion euros in turnover per year) should not be too optimistic soon. „Our customers are governments and cities that are often very conservative. It’s hard to get access to them as a startup. But if we as a company stand behind a startup, then a new top technology can take off,“ says Christoph. Kapsch is the lever to make a new product big. „When we see that there is something big in Factory1, we can be very fast.”","29. Januar 2019","https://www.trendingtopics.at/wp-content/uploads/2019/01/Kapsch-644x362.jpg"
"6","https://www.trendingtopics.at/factory1-marcus-handl-interview/","Factory1","Factory1: Why mobility, urbanization and climate protection are driving forces behind this accelerator","With their „Factory1“ Accelerator Program, Kapsch invites startups to work on innovative solutions in the mobility sector and offers unique opportunities to collaborate with the globally-operating technology group and its partners. Throughout a four-months period the program „Factory1 2K19“ provides equity free financial resources and expert mentoring. 300 applications from 60 countries In 2017 the Factory1 accelerator program had almost 300 applications from over 60 countries. At the end of the program 7 proof of concepts were finished. The application for the upcoming batch closed in Dezember and we talked to Marcus Handl, Head of Corporate Development & Innovation, about how Kapsch helps startups to step on the gas with the accelerator program Factory1. „Working together with startups offers us the possibility to fill our own gaps and to find viable solutions to real problems“, says Handl. „It also offers the opportunity to enter partnerships and to find new perspectives through the exchange of minds“. Mediator between people and technology Kapsch is spending more than 10 percent of its revenues in R&D. „Kapsch has always regarded itself as a mediator between what people need and what technology is offering. As a future-oriented company Kapsch has always tackled diverse challenges and has always had an eye on becoming a pioneer in its industry“, says Handl. Kapsch chose an Open Innovation approach to detect disruptive technology early. Handl: „For this we work together with a couple of external stakeholders, for example universities“. For Kapsch mobility, urbanization, digitalization and climate protection are driving forces of the industry.","09. Januar 2019","https://www.trendingtopics.at/wp-content/uploads/2019/01/kapsch-644x362.png"
"7","https://www.trendingtopics.at/factory1-the-hunt-for-a-poc-is-not-a-piece-of-cake/","Factory1","Factory1: The Hunt for a Proof of Concept is Not a Piece of Cake","It’s been 16 intense weeks. 16 weeks, during which five international startups are working on fire to set up a Proof of Concept (PoC) together with the Austrian technology company Kapsch. 16 weeks in which the founders from Switzerland, the United Arab Emirates, Germany and Russia traveled not only to Vienna, but also to Silicon Valley to take part in the acceleration weeks of the startup accelerator Factory1 by Kapsch. „We are on track“ „We are on track with all of our major milestones,“ says Vivien Dollinger, CEO of Objectbox. This is important because on June 18, Objectbox and the founders of the other four startups – Aerostate, Exeon Analytics, Bestmile and DerQ – will present their PoCs to selected industry experts and the top management of Kapsch on Demo Day 2K19 in Vienna. The goal: The PoCs are to serve as a basis for further cooperation between the startups and the Austrian tech company. „We want to establish real relationships with the startups“, says Simrit Sandhu, Program Lead of Factory1. „Kapsch is interested in helping the startups scale by jointly bringing innovative products and services to the market that complement the Kapsch portfolio.“ Integrating, integrating, integrating The four months in the Accelerator Program are hard work. While Objectbox, which specializes in edge computing, is working on storing and processing data in trains, Bestmile from Switzerland is working on integrating its Demand Responsive Transportation (DRT) solution into a Mobility as a Service platform (MaaS) of the Kapsch subsidiary Fluidtime. The Moscow-based startup Aerostate, headquartered in the USA, worked on a PoC for Spain`s capital Madrid. There, the founders will develop a system to measure air pollution with sensors and, based on this, distribute traffic in the city smarter. Meanwhile, DerQ’s founder took a trip to a small village in Lower Austria. There they test how they can warn connected cars about pedestrians at intersections using AI software and V2X communication . Meanwhile, Exeon Analytics from Switzerland is testing a possible integration of its cyber security solution at Kapsch. Potentials unfolding At an interim report in Vienna, the startups showed that they are on track with their projects. On June 18, they will be presented in Vienna – whereupon it will be shown which potentials the PoCs can actually unfold.","11. Juni 2019","https://www.trendingtopics.at/wp-content/uploads/2019/06/Factory_1-644x362.jpg"
